user_name,rating,review_text,likes_count,replies_count,created_at,movie_id
조은호,1.0,감히 손댈 수 없는 성웅을 내세운 대국민 사기성 마케팅은 대성공.,118,0,2014-08-03T14:51:55+09:00,myeongryang
지혜,1.0,"최고의 재료로 차려낸 최악의 밥상.
역사적 고증은 나몰라라, 개연성 소멸, 캐릭터는 증발... 총체적 난국.
오히려 장군님을 깎아내린 영화다.
 감독은 충무공께 석고대죄해라.",106,0,2014-08-07T11:04:04+09:00,myeongryang
최현준,1.0,"이 영화를 보는게 애국이 아니고, 이딴 영화를 걸러냄으로써 한국 영화계를 조금 더 발전시키는게 애국이죠.. 재미있게 보신분들 디워를 명량에 싸먹어 보세요!",86,0,2014-08-04T14:14:06+09:00,myeongryang
쩌리짱,1.0,아주 좋은 소재를 가지고도 이런 영화 밖에 못만들어서 정말 통탄할 노릇이다!,74,0,2014-07-31T07:11:16+09:00,myeongryang
조관형,1.0,중등부 글짓기 수준의 각본,69,0,2014-08-04T21:55:27+09:00,myeongryang
우주먼지,1.0,CJ가 한국 관객들의 성향과 수준을 완벽하게 이해했다는 증거자료.,43,0,2014-09-02T19:15:19+09:00,myeongryang
강창규,1.0,대한민국 유일무이한 파시즘 주의 영화! 해전의 긴장감은 없고 어떻게 이겼는가 보단 장군 장군 만 외치다 뜬금 없이 거북선의 입으로 끝나는 영화,36,0,2014-08-05T09:51:08+09:00,myeongryang
전제곤,1.0,이 영화 어디를 봐서 이순신 장군을 영웅으로 묘사한 것인지 알수없다... 이순신 장군께서 명예회손죄로 고발할만한 영화라는 아래 감상평에 한표.,33,0,2014-08-03T11:54:06+09:00,myeongryang
Soohong Do,1.0,"갈 길 잃은 내러티브와 할 말 잃게하는 미장셴에 빛을 잃은 3명의 명배우가 만들어내는 불협화음. 그로 인해 잃어버린 내 시간과 돈, 마음의 안정 -_-",27,0,2014-08-01T08:58:21+09:00,myeongryang
김고래,1.0,"흥미로운 컨텐츠, 매력적인 배우진, 열광적인 국민의 관심이 모여도 세상에서 제일 구린 영화가 만들어질 수 있다는 것을 증명한, 영화계의 신기원이다.",25,0,2014-08-09T02:21:06+09:00,myeongryang
JI,1.0,지루하고 과한 연극,23,0,2014-08-03T09:09:52+09:00,myeongryang
KD,1.0,별 반 개도 아깝다 개졸작,18,0,2014-08-10T04:43:09+09:00,myeongryang
김지훈,1.0,똥이다. 한국 사람 아니면 무신 재미로 볼까?,18,0,2014-08-09T13:32:12+09:00,myeongryang
김민호,1.0,별 반개도 아깝다. 김난도씨의 아프니까 청춘이다를 영화화 해놓으면 이런 느낌이 들까,18,0,2014-08-08T10:34:40+09:00,myeongryang
김유섭,1.0,정말로 울면서 봤다는게 사실인가요? 역사적 위인을 영화로 만들면 다 감동적인 영화가 되는건 아닌데...,17,0,2014-08-08T10:09:32+09:00,myeongryang
정민영,1.0,"싸구려 신파와 빈약한 각본, 원탑으로 내세웠음에도 부족한 이순신 묘사, 없는 것만도 못한 조연들 말아먹어도 이렇게 말아먹을 수가. 일본의 배처럼 의미없이 침몰하는 cj의 대자본",17,0,2014-08-03T21:05:48+09:00,myeongryang
브랜든 - 냉정한 평가자,1.0,심형래 영화수준인데 국뽕들이 취해 성공한 씹사기영화,16,0,2015-03-09T03:17:22+09:00,myeongryang
이예진,1.0,하도 명량 명량 하길래 기대하고 봤더니 정말 지루함 이 좋은 소재로 이런 영화라니,16,0,2014-08-05T22:02:47+09:00,myeongryang
Jeong Min Kang,1.0,올해 최악의 영화,15,0,2014-08-03T04:30:00+09:00,myeongryang
최도희,1.0,이순신을 소재로 표절감독이 만든 영화,15,0,2014-08-02T23:45:53+09:00,myeongryang
이다예,1.0,재미없고 만듦새도 허술하다.,14,0,2014-08-11T11:16:59+09:00,myeongryang
정지웅,1.0,"그냥 영화끝나고 나오는말이 
'도대체 이영화가 왜 인기가많지?'
정말 재미없었다",14,0,2014-08-06T08:03:50+09:00,myeongryang
이정석,1.0,"스토리, 연출, 촬영 모든 것이 수준이하. 이런 수준의 영화가 돈들여져서 만들어졌다는게 황당하고 한국 영화계에 불행한잏이다",14,0,2014-08-03T12:02:54+09:00,myeongryang
윤화,1.0,"후반부를 위한 전반부의 지루한 기다림
영화 전체가 집에서 컴퓨터로 스킵해서 본 기분 매끄럽지않다

명량이 정말 재미있어서 빠른 속도로 관객수가 느는것일까
위인영화 특유의 감동일 뿐",14,0,2014-07-23T05:18:57+09:00,myeongryang
홍은기,1.0,거품 노잼 이딴 개쓰레기 졸작영화가 1500만 넘었단게 경이롭다,13,0,2015-03-22T21:06:23+09:00,myeongryang
이우선,1.0,상영관좀 적당히 잡아먹어라 다른영화도 볼 권리가 있다ㅡㅡ,12,0,2014-08-16T04:53:27+09:00,myeongryang
김민섭,1.0,지루하고 또 단순하다 후반부의 해전씬이 전반부의 지루함을 해결해주기는 역부족 이미 너무지쳤기에 애국심과 하품 없이는보기힘든 영화,11,0,2014-08-11T00:11:27+09:00,myeongryang
JJ,1.0,"해전에서 쓸데없이 질질 끄는데, 스토리 선이 고조되며 빵! 이아니라, 침체되고 지겨워졌다. 물론 질질 끈 후 나온 하이라이트 씬도 별로",9,0,2018-06-27T22:15:29+09:00,myeongryang
Alistair Minjae Lee,1.0,주모 오늘 영업 그만해~~~크아 취한다!!,9,0,2015-10-05T01:30:03+09:00,myeongryang
chaeeeeeeee,1.0,이를 보고 감동하는 것이 곧 애국심이라고 강요하는 듯한 노골적인 마지막 대사에 경악,9,0,2015-04-06T01:20:29+09:00,myeongryang
Jun Oh,1.0,"마지막 후손 드립은 용서할 수 없음
 강병구님, MJ Yoon님과 함께.",9,0,2014-08-17T12:42:02+09:00,myeongryang
우울한cut과 유쾌한song,1.0,지금 우리는 이미 배를 버렸다,9,0,2014-08-07T21:50:04+09:00,myeongryang
박단,1.0,한국영화 퇴보,8,0,2016-08-16T18:36:40+09:00,myeongryang
uy,1.0,이게 진짜 천만이야? 우엑,8,0,2016-06-25T23:03:32+09:00,myeongryang
윌슨,1.0,해전으로 대충 때워도 알아서 취할 거라는 믿음. 그 믿음에 응답하는 이들.,8,0,2016-04-03T15:23:41+09:00,myeongryang
Eunsu Cho,1.0,마이너스 점수가 없는게 아쉽다.,8,0,2015-05-30T19:49:19+09:00,myeongryang
KHD,1.0,"참 이게 한국흥행1위라니 차라리 아바타가 안깨젔는게 더나았겠다
아바타는 뻔하지만 재밌고 영상쇼크라도있었지 역사적위인에기대서 애국마케팅으로
독점에 시류잘타서 운빨로 1위한졸작",8,0,2015-03-20T11:40:08+09:00,myeongryang
양준석,1.0,벙어리 여자가 절벽에 올라가서 치마를 흔들며 깩깩 소리를 지르는 장면은 이 영화 자체를 상징한다... 하고싶은 말은 있었으나 안쓰러울 정도로 시끄럽기만 했다.,8,0,2015-01-13T01:59:16+09:00,myeongryang
이지은,1.0,최민식의 연기마저 아깝다,8,0,2014-08-02T19:06:27+09:00,myeongryang
팝콘코인,1.0,노장을 감없고 논리없는 늙은이로 그려놓는 것도 재주라면 재주,7,0,2018-08-18T15:46:11+09:00,myeongryang
UM,1.0,??????....,7,0,2015-09-30T07:21:36+09:00,myeongryang
이재욱,1.0,평가할 가치도 없다,7,0,2015-07-21T09:47:00+09:00,myeongryang
박종일,1.0,역사팔이에 온 국민을 속인 대국민 사기극. 영화는 재능보다 타이밍이다.,7,0,2015-05-04T01:33:07+09:00,myeongryang
차군,1.0,주모! 여기 국뽕 한 사발!,7,0,2014-08-15T06:40:02+09:00,myeongryang
KHJ입니다,1.0,천만영화에 기여한 내자신이 싫다.,6,0,2016-11-06T20:00:55+09:00,myeongryang
김흥범,1.0,덜떨어짐의 새로운 영역을 개척했다. 후반부의 떡슬로우모션은 정말 뭐라 할 말이 없음. 한국 영화를 적게 잡아 15년은 퇴보시켰다. 강렬하다.,6,0,2015-09-30T23:35:43+09:00,myeongryang
김윤환,1.0,애국심으로 포장된 최악의 영화..,6,0,2015-09-30T03:08:09+09:00,myeongryang
nohohon,1.0,"일요일 아침의 서프라이즈가 훨씬 감동적이겠다.
이 영화를 비판하는 행위가 이순신을 비난하는 행위로 받아들여지는 기형적 팬덤 등장에는 할말이 없다.
일단 영화는 잘만들고 봐야하는법.",6,0,2015-04-14T23:07:03+09:00,myeongryang
Blue Fin,1.0,한국영화가 안되는 이유,6,0,2015-02-06T08:49:31+09:00,myeongryang
박종환,1.0,좋은 소재라해서 좋은 영화가 나오는건 아니다,6,0,2015-01-25T23:53:57+09:00,myeongryang
watcha,1.0,이순신 장군 이용한 앵벌이 영화,6,0,2015-01-19T08:21:03+09:00,myeongryang
윤하준,1.0,언플오지는영화,6,0,2014-09-27T08:13:12+09:00,myeongryang
이희원,1.0,"제가 이 쓰레기에 별 하나를 줬다니
잠깐 정신이 나갔나봅니다",6,0,2014-08-18T03:18:43+09:00,myeongryang
Pedro Lee,1.0,쓰레기,6,0,2014-08-15T20:36:30+09:00,myeongryang
아놀드,1.0,소용돌이씬에선 뛰쳐나가고 싶었다,6,0,2014-08-13T06:03:00+09:00,myeongryang
SB,1.0,"촌스러운 연출, '이게 최선인가'싶은 앵글,  좋은 배우들의 낭비, 억지로 끌어낸 민중. 대기업 마케팅에 속아넘어갔다는 생각에 패배감을 안겨준 영화.",6,0,2014-08-07T13:53:46+09:00,myeongryang
전진형,1.0,대한민국 만세!!,5,7,2025-04-01T16:25:51+09:00,myeongryang
하나,1.0,"코미디언 이순신이 만든 국뽕 열두사발, 그 이름을 불러봅니다 주모~~~~~~~!",5,0,2018-05-30T14:01:28+09:00,myeongryang
최지혜,1.0,국뽕 극혐,5,0,2016-01-01T06:49:23+09:00,myeongryang
이승원,1.0,이 영화를 영화관에서 보고 울었다는 사람들은 돈이 아까워서였을 것이다.,5,0,2015-08-03T07:49:32+09:00,myeongryang
김동희,1.0,아...부끄럽고 손발이 오그라든다...,5,0,2014-12-21T20:34:30+09:00,myeongryang
김윤기,1.0,심형래 디워 이후 최대의 사기극. 껄껄 웃을 투자자들을 생각하면 피가 거꾸로 솟는다,5,0,2014-11-19T08:51:13+09:00,myeongryang
키즈리턴,1.0,이순신 장군의 흥행코드 알아본 안목이 대단하다. 그렇지만 다른 사람이 만들어줬다면 좋았을 걸.,5,0,2014-10-04T06:02:19+09:00,myeongryang
홍용철,1.0,과하다. 모든 것이.,5,0,2014-08-24T22:55:19+09:00,myeongryang
like kubrick,1.0,평가 하기도 싫다.,5,0,2014-08-19T06:35:28+09:00,myeongryang
정태영,1.0,올해 최악의 영화. 시종일관 진지함은 실소를 나오게 했고 전투신 마지막에 거북선 머리가 등장할 때는 뛰쳐나가고 싶었다,5,0,2014-08-16T17:15:26+09:00,myeongryang
선지원,1.0,"기대엄청하고봤는데...전군출정하라!!이말밖에
기억안나네요 제가 이해를 못해서 그런가요..",5,0,2014-08-16T03:55:53+09:00,myeongryang
SN Kim,1.0,개노잼,5,0,2014-08-15T22:05:59+09:00,myeongryang
hh,1.0,돈아까워 오천원 주고 봤는데 그거마저 아까워 내시간!!!!!!!!,5,0,2014-08-14T00:38:41+09:00,myeongryang
멍냥,1.0,이게 대한민국 천만 영화 수준이다.,5,0,2014-08-13T03:53:35+09:00,myeongryang
김보현,1.0,"새로운것 없는 사극
좀더 색다른것을 보여줬어야했다",5,0,2014-08-01T11:01:31+09:00,myeongryang
홍석주,1.0,아니 진짜 아 빡치네 이딴영화만들지마.,5,0,2014-08-01T06:50:32+09:00,myeongryang
프로매국노,1.0,sship점....sship점이오....,4,0,2018-11-02T07:47:08+09:00,myeongryang
